feature,value,label,precision,recall,f1-score,support
exon,gefinitib | esone 21,gefinitib + esone 21,0.0,0.0,0.0,1
exon,cisplatino | None,cisplatino + None,0.0,0.0,0.0,1
exon,Afatinib | esone 21,Afatinib + esone 21,0.0,0.0,0.0,1
exon,ceftriaxone | None,ceftriaxone + None,0.0,0.0,0.0,1
exon,gefitinib | esone 20,gefitinib + esone 20,0.0,0.0,0.0,1
exon,Gefitinib | None,Gefitinib + None,0.0,0.0,0.0,3
modality,osimertinib | None,osimertinib + None,0.0,0.0,0.0,8
modality,gefitinib | None,gefitinib + None,0.5,0.143,0.222,8
modality,erlotinib | orale,erlotinib + orale,0.0,0.0,0.0,1
modality,gefitinib | orale,gefitinib + orale,0.0,0.0,0.0,1
modality,afatinib | None,afatinib + None,0.0,0.0,0.0,3
modality,erlotinib | None,erlotinib + None,1.0,0.5,0.667,2
modality,Osimertinib | None,Osimertinib + None,0.0,0.0,0.0,8
modality,gefinitib | orale,gefinitib + orale,0.0,0.0,0.0,1
modality,cisplatino | endovenosa,cisplatino + endovenosa,0.0,0.0,0.0,1
modality,Afatinib | orale,Afatinib + orale,0.0,0.0,0.0,1
modality,osimertinib | orale,osimertinib + orale,0.0,0.0,0.0,1
modality,ceftriaxone | endovenosa,ceftriaxone + endovenosa,0.0,0.0,0.0,1
modality,Gefitinib | None,Gefitinib + None,0.5,0.143,0.222,8
is_tki,osimertinib | True,osimertinib + True,0.5,0.143,0.222,8
is_tki,gefitinib | True,gefitinib + True,0.5,0.125,0.2,9
is_tki,erlotinib | True,erlotinib + True,1.0,0.333,0.5,3
is_tki,afatinib | True,afatinib + True,0.0,0.0,0.0,4
is_tki,Osimertinib | True,Osimertinib + True,0.5,0.143,0.222,8
is_tki,gefinitib | False,gefinitib + False,0.0,0.0,0.0,1
is_tki,cisplatino | False,cisplatino + False,0.0,0.0,0.0,1
is_tki,Afatinib | True,Afatinib + True,0.0,0.0,0.0,4
is_tki,ceftriaxone | False,ceftriaxone + False,0.0,0.0,0.0,1
is_tki,Gefitinib | True,Gefitinib + True,0.5,0.125,0.2,9
